Session ID,Player ID,Player Name,Game Name,Platform,Region,Session Date,Session Duration (min),In-Game Purchase ($),Purchase Type,Session Status,Player Type,Level Reached,Is Suspicious
S00025,P2146,kvasquez,Zombie Rush,PC,South,2025-05-04,51,0,None,Crashed,Free,41,No
S00026,P3548,erica07,Empire Wars,PC,North-East,2025-03-25,96,0,None,Completed,Paid,17,No
S00027,P2609,owensoscar,Empire Wars,Mobile,North-East,2025-05-02,173,0,None,Completed,Free,8,Yes
S00028,P4851,wlawson,SpeedX,Mobile,North-East,2025-02-04,105,0,None,Completed,Free,11,No
S00029,P5046,kevinruiz,Clash of Realms,Console,North-East,2025-04-16,16,0,None,Completed,Free,26,No
S00030,P4408,dlee,SpeedX,Mobile,South,2025-06-10,135,0,None,Completed,Free,12,No
S00031,P3683,rebekah64,Empire Wars,Mobile,North-East,2025-02-06,96,0,None,Completed,Free,43,No
S00032,P6285,katherinejohnston,SpeedX,PC,North-East,2025-02-20,16,0,None,Completed,Free,16,No
S00033,P4554,odavis,Clash of Realms,PC,North-East,2025-02-08,165,0,None,Completed,Free,23,Yes
S00034,P6724,tylermiller,SpeedX,PC,South,2025-05-20,25,0,None,Crashed,Free,26,No
S00035,P2965,sonya77,SpeedX,PC,South,2025-03-13,140,0,None,Completed,Free,26,No
S00036,P4961,sandyherman,Empire Wars,Mobile,Central,2025-04-03,86,0,None,Completed,Free,47,No
S00037,P2861,leahlee,Clash of Realms,PC,North,2025-03-05,149,0,None,Completed,Free,48,No
S00038,P7945,richardhooper,BattleZone,Console,Central,2025-05-13,121,0,None,Completed,Free,14,No
S00039,P3668,jenniferwilcox,SpeedX,Mobile,Central,2025-02-14,154,0,None,Completed,Free,44,Yes
S00040,P3875,bruce09,SpeedX,PC,North-East,2025-01-16,82,24.1,Skins,Completed,Paid,34,No
S00041,P2707,tpark,Empire Wars,PC,South,2024-12-16,49,0,None,Completed,Free,9,No
S00042,P2683,csanchez,Clash of Realms,Console,South,2025-05-06,35,0,None,Completed,Paid,33,No
S00043,P2171,nnguyen,BattleZone,PC,West,2025-01-19,112,30.74,Subscriptions,Completed,Paid,10,No
S00044,P5497,vmooney,BattleZone,Console,West,2025-02-04,67,0,None,Exited Early,Free,16,No
S00045,P7820,jennifer87,BattleZone,PC,West,2025-01-19,15,0,None,Crashed,Free,38,No
S00046,P5339,jcarter,SpeedX,Console,South,2025-03-01,8,0,None,Completed,Free,33,No
S00047,P2125,jlane,Clash of Realms,Mobile,West,2024-12-17,27,0,None,Completed,Free,19,No
S00048,P1178,nathan33,BattleZone,Console,North,2025-02-04,115,22.35,Subscriptions,Completed,Paid,43,No
S00049,P2502,owensjoseph,Zombie Rush,Mobile,Central,2025-02-27,27,0,None,Completed,Free,39,No
S00050,P5155,griffinsarah,SpeedX,Mobile,Central,2025-01-01,82,0,None,Incomplete,Free,26,No
S00051,P3174,petersonlacey,BattleZone,Console,South,2025-05-04,42,0,None,Completed,Free,18,No
S00052,P8266,cynthiapoole,Zombie Rush,PC,East,2024-12-19,108,0,None,Completed,Free,35,No
S00053,P9579,richardsjessica,SpeedX,Console,West,2025-04-11,38,0,None,Completed,Free,34,No
S00054,P5714,fforbes,BattleZone,PC,West,2025-03-11,136,0,None,Completed,Free,11,No
S00055,P4102,odonnelljennifer,BattleZone,Mobile,Central,2025-06-06,20,0,None,Incomplete,Free,49,No
S00056,P1285,amylong,BattleZone,Mobile,North,2025-05-11,117,0,None,Exited Early,Free,11,No
S00057,P7588,usnyder,BattleZone,PC,North,2025-05-04,139,0,None,Completed,Free,41,No
S00058,P9514,dianaburgess,Zombie Rush,Mobile,East,2025-04-09,19,44.21,Battle Pass,Completed,Paid,24,Yes
S00059,P1110,joseph32,BattleZone,PC,East,2025-04-24,76,0,None,Completed,Free,41,No
S00060,P2205,fstewart,Empire Wars,PC,Central,2025-04-20,153,0,None,Completed,Free,2,Yes
S00061,P7473,sholmes,SpeedX,Console,North,2025-05-27,156,0,None,Completed,Paid,50,Yes
S00062,P1805,charlesjohnson,SpeedX,Mobile,West,2025-03-23,153,0,None,Completed,Paid,44,Yes
S00063,P3641,davischristopher,Zombie Rush,Console,West,2025-01-01,77,39.88,Skins,Completed,Paid,25,No
S00064,P6094,jenniferarnold,Zombie Rush,PC,South,2025-06-10,81,10.1,Subscriptions,Crashed,Paid,24,No
S00065,P5717,palmerashley,Empire Wars,PC,East,2025-02-25,7,0,None,Incomplete,Free,32,No
S00066,P2499,mbowen,Empire Wars,PC,Central,2025-06-06,152,0,None,Completed,Free,21,Yes
S00067,P9667,harrisonsteven,SpeedX,PC,West,2025-01-05,64,0,None,Exited Early,Free,13,No
S00068,P9995,tinapreston,BattleZone,Console,North,2025-06-03,165,0,None,Completed,Free,41,Yes
S00069,P8527,claudiasilva,Empire Wars,Console,East,2025-01-17,165,0,None,Completed,Free,15,Yes
S00070,P6322,noah21,Clash of Realms,PC,West,2025-01-25,79,0,None,Exited Early,Free,18,No
S00071,P8019,nwatkins,Empire Wars,PC,Central,2025-06-12,81,0,None,Exited Early,Free,37,No
S00072,P3539,martinderrick,Zombie Rush,Console,South,2025-01-02,84,0,None,Completed,Free,11,No
S00073,P8666,craiggail,SpeedX,Mobile,North,2025-05-05,79,0,None,Completed,Free,49,No
S00074,P8845,connerkevin,BattleZone,Console,North,2025-01-08,147,0,None,Completed,Free,14,No
S00075,P3222,fmayer,Empire Wars,Console,West,2025-04-03,70,0,None,Completed,Free,12,No
S00076,P1269,bryantdawn,SpeedX,PC,East,2025-06-09,33,16.41,Boosters,Incomplete,Paid,30,No
S00077,P6534,lindsay74,SpeedX,PC,West,2025-02-04,128,0,None,Incomplete,Free,40,No
S00078,P1662,ehill,SpeedX,Console,Central,2025-06-07,28,0,None,Completed,Free,4,No
S00079,P9765,hannah41,SpeedX,PC,North,2025-03-27,112,0,None,Completed,Free,21,No
S00080,P2463,bentonashley,SpeedX,Mobile,South,2025-05-02,175,27.19,Skins,Completed,Paid,1,Yes
S00081,P3235,kellyhill,Clash of Realms,PC,Central,2025-06-01,60,0,None,Completed,Free,44,No
S00082,P7193,tlloyd,Zombie Rush,PC,South,2025-03-23,144,0,None,Completed,Free,35,No
S00083,P1366,robinatkinson,SpeedX,PC,East,2025-05-01,47,0,None,Crashed,Free,50,No
S00084,P3144,karen96,Clash of Realms,Mobile,South,2025-01-20,53,0,None,Completed,Free,4,No
S00085,P2977,mark79,Empire Wars,Console,East,2025-04-09,43,0,None,Completed,Free,20,No
S00086,P8703,wayne88,BattleZone,PC,South,2025-02-01,11,0,None,Crashed,Free,18,No
S00087,P9792,jack75,BattleZone,Console,South,2025-03-03,100,0,None,Completed,Free,50,No
S00088,P5000,shenderson,SpeedX,PC,North,2025-02-27,54,35.79,Skins,Completed,Paid,42,No
S00089,P5536,manderson,Zombie Rush,Mobile,East,2024-12-25,92,0,None,Incomplete,Free,21,No
S00090,P3420,boylejeffrey,Empire Wars,Mobile,North-East,2025-01-04,115,0,None,Completed,Free,17,No
S00091,P6128,justinvargas,Clash of Realms,Console,West,2025-06-01,76,0,None,Completed,Free,44,No
S00092,P2205,smullins,BattleZone,Console,South,2025-04-23,81,0,None,Crashed,Free,46,No
S00093,P5817,cynthiasimmons,BattleZone,Mobile,North,2024-12-20,154,0,None,Completed,Free,11,Yes
S00094,P6677,qwatson,SpeedX,Console,North-East,2025-03-15,143,0,None,Exited Early,Free,10,No
S00095,P5248,xreed,Clash of Realms,PC,South,2025-05-02,123,26.85,Battle Pass,Crashed,Paid,32,No
S00096,P7669,melanie00,SpeedX,Console,Central,2025-02-24,158,0,None,Completed,Paid,17,Yes
S00097,P1126,richardward,Zombie Rush,PC,West,2025-02-22,122,0,None,Completed,Free,9,No
S00098,P8252,riggsbarbara,SpeedX,Console,North-East,2024-12-20,164,0,None,Completed,Paid,19,Yes
S00099,P9800,sroach,Empire Wars,Console,East,2025-03-22,173,0,None,Completed,Free,37,Yes
S00100,P5367,jeffreyluna,Empire Wars,Console,East,2025-05-10,107,0,None,Incomplete,Free,13,No
S00101,P6401,chavezmelissa,BattleZone,Mobile,North,2025-04-03,34,15.26,Skins,Completed,Paid,11,No
S00102,P1736,qserrano,Zombie Rush,Mobile,East,2025-01-20,180,0,None,Completed,Free,28,Yes
S00103,P5013,angelabutler,Empire Wars,Mobile,North-East,2025-01-11,41,0,None,Exited Early,Free,47,No
S00104,P9492,ggriffith,Empire Wars,Console,West,2025-05-18,90,0,None,Completed,Free,3,No
S00105,P2590,chrisperkins,Clash of Realms,Console,Central,2025-05-22,64,0,None,Completed,Free,50,No
S00106,P8823,blakewallace,BattleZone,Mobile,Central,2025-01-28,101,0,None,Completed,Free,6,No
S00107,P1933,ismith,BattleZone,PC,North,2025-04-15,21,36.34,Subscriptions,Completed,Paid,24,No
S00108,P4776,amydunn,Empire Wars,Console,West,2025-03-31,153,0,None,Crashed,Free,25,Yes
S00109,P2082,awise,Empire Wars,PC,North-East,2025-06-11,153,0,None,Completed,Free,48,Yes
S00110,P9730,jennifer33,BattleZone,PC,North,2025-05-21,164,0,None,Crashed,Paid,39,Yes
S00111,P1583,heatherpayne,BattleZone,PC,Central,2024-12-30,165,0,None,Crashed,Free,48,Yes
S00112,P3011,keithmaddox,BattleZone,Mobile,Central,2025-05-25,172,0,None,Completed,Free,50,Yes
S00113,P7599,fuentesmelanie,BattleZone,PC,North,2025-02-27,33,0,None,Completed,Free,46,No
S00114,P2615,melissa89,Zombie Rush,Mobile,Central,2024-12-18,89,30.92,Boosters,Completed,Paid,48,No
S00115,P5890,jill75,Zombie Rush,Mobile,South,2025-02-15,22,28.43,Battle Pass,Crashed,Paid,36,No
S00116,P7715,vhart,Zombie Rush,Console,North-East,2025-04-02,65,0,None,Completed,Free,8,No
S00117,P4728,marilynharrison,BattleZone,PC,South,2025-02-19,22,0,None,Completed,Free,7,No
S00118,P8621,davisamy,Empire Wars,Mobile,North-East,2025-05-14,98,0,None,Crashed,Free,7,No
S00119,P4118,dorseyemily,BattleZone,Console,North,2025-05-04,63,0,None,Completed,Free,13,No
S00120,P1199,garymeyers,Clash of Realms,PC,North,2025-03-10,45,31.67,Subscriptions,Completed,Paid,45,No
S00121,P7130,elee,Clash of Realms,Console,North,2025-01-31,142,0,None,Completed,Free,3,No
S00122,P1992,jennifer29,SpeedX,Console,Central,2025-06-09,56,4.07,Subscriptions,Completed,Paid,45,No
S00123,P2064,davidkelley,Zombie Rush,Mobile,South,2024-12-22,156,0,None,Completed,Paid,45,Yes
S00124,P9571,haroldsawyer,Empire Wars,PC,South,2025-01-10,123,0,None,Crashed,Free,12,No
S00125,P9017,albertkelly,Zombie Rush,PC,South,2025-06-11,172,0,None,Exited Early,Free,21,Yes
S00126,P8062,chambersnicole,Zombie Rush,Mobile,East,2025-01-29,46,14.47,Boosters,Exited Early,Paid,30,No
S00127,P6411,jacobsonmichael,BattleZone,Console,West,2025-01-04,153,0,None,Exited Early,Free,15,Yes
S00128,P4959,robert48,BattleZone,Mobile,North-East,2025-06-07,128,0,None,Crashed,Free,32,No
S00129,P8564,wyattsanchez,Zombie Rush,PC,South,2025-06-06,54,0,None,Completed,Free,15,No
S00130,P9652,vedwards,Zombie Rush,Mobile,East,2025-01-13,133,0,None,Completed,Free,35,No
S00131,P6617,figueroadoris,Clash of Realms,Mobile,South,2025-05-01,116,0,None,Crashed,Free,30,No
S00132,P2180,briansteele,Zombie Rush,Console,North-East,2024-12-18,95,0,None,Completed,Free,20,No
S00133,P2956,huangdana,SpeedX,PC,North,2024-12-22,107,0,None,Incomplete,Free,7,No
S00134,P3200,robert23,SpeedX,PC,North,2025-04-01,150,0,None,Completed,Free,47,No
S00135,P9368,thomasmonica,SpeedX,PC,East,2025-01-01,175,0,None,Completed,Free,49,Yes
S00136,P7857,griffithbilly,Zombie Rush,PC,North,2025-01-22,26,23.57,Battle Pass,Completed,Paid,10,No
S00137,P4039,alanguerrero,SpeedX,PC,Central,2025-05-17,115,0,None,Crashed,Free,42,No
S00138,P8823,timothy18,BattleZone,PC,North,2025-04-27,72,0,None,Completed,Paid,6,No
S00139,P4544,martinrobert,Clash of Realms,Console,West,2025-06-06,137,0,None,Incomplete,Free,28,No
S00140,P4842,deckeramanda,SpeedX,Console,West,2025-04-12,145,0,None,Completed,Paid,36,No
S00141,P2727,allison25,SpeedX,Mobile,North-East,2025-03-25,46,0,None,Completed,Free,17,No
S00142,P7235,reedchad,Clash of Realms,PC,West,2025-01-28,106,0,None,Completed,Free,15,No
S00143,P8203,kennedyjacob,BattleZone,Mobile,North-East,2025-02-17,48,46.63,Battle Pass,Completed,Paid,42,Yes
S00144,P2317,robertohobbs,Zombie Rush,Console,West,2025-04-22,83,0,None,Completed,Free,25,No
S00145,P1686,michellemurphy,Clash of Realms,Console,Central,2024-12-24,146,0,None,Completed,Free,28,No
S00146,P3775,castillowilliam,Clash of Realms,Console,North,2025-02-25,18,0,None,Completed,Free,47,No
S00147,P2026,manuel15,SpeedX,PC,North,2025-04-23,136,0,None,Completed,Free,23,No
S00148,P6441,melissa77,Empire Wars,Console,East,2025-01-26,99,0,None,Completed,Free,2,No
S00149,P2573,pkim,Empire Wars,Mobile,Central,2025-02-05,133,0,None,Completed,Free,26,No
S00150,P2593,erinjones,BattleZone,Console,Central,2025-03-12,54,0,None,Completed,Free,5,No
S00151,P5644,harrispamela,Empire Wars,PC,North,2025-01-09,169,0,None,Completed,Free,30,Yes
S00152,P5906,onoble,Empire Wars,Console,West,2025-03-21,8,39.12,Boosters,Completed,Paid,48,No
S00153,P4716,jamie88,Clash of Realms,Console,West,2025-02-07,27,2.64,Subscriptions,Completed,Paid,3,No
S00154,P8055,davidsingleton,BattleZone,Mobile,West,2025-03-05,118,46.55,Battle Pass,Completed,Paid,45,Yes
S00155,P2328,byrdevelyn,Zombie Rush,Mobile,North-East,2025-05-15,171,18.03,Skins,Completed,Paid,43,Yes
S00156,P2755,ivan06,Clash of Realms,Mobile,North,2025-04-09,55,0,None,Completed,Free,29,No
S00157,P5941,gabriellogan,BattleZone,Console,North-East,2025-02-21,37,0,None,Exited Early,Free,1,No
S00158,P4783,gsmith,Empire Wars,Console,West,2025-02-12,79,0,None,Completed,Free,44,No
S00159,P7795,morrismelissa,Clash of Realms,Console,South,2025-02-02,50,0,None,Completed,Free,21,No
S00160,P5207,courtneycarr,Empire Wars,Mobile,North,2025-02-12,57,0,None,Completed,Free,13,No
S00161,P7830,thomasowens,Zombie Rush,Console,West,2025-04-18,116,17.05,Subscriptions,Exited Early,Paid,17,No
S00162,P9575,robertsoncynthia,Empire Wars,Mobile,North-East,2025-02-13,8,0,None,Exited Early,Free,31,No
S00163,P8379,uhudson,Clash of Realms,Console,North-East,2025-01-01,38,0,None,Completed,Free,21,No
S00164,P4355,victoriastone,BattleZone,PC,North-East,2025-05-05,94,0,None,Exited Early,Free,23,No
S00165,P6225,adam91,BattleZone,PC,East,2025-03-22,139,0,None,Completed,Free,26,No
S00166,P9011,robertroberts,BattleZone,Console,East,2025-05-17,153,0,None,Completed,Free,45,Yes
S00167,P4379,walkerdeborah,BattleZone,Mobile,West,2025-04-16,116,47.47,Subscriptions,Completed,Paid,1,Yes
S00168,P6734,whitemary,SpeedX,PC,North-East,2025-03-09,82,0,None,Exited Early,Free,17,No
S00169,P1828,fray,SpeedX,Mobile,North,2025-04-15,35,0,None,Completed,Free,46,No
S00170,P1330,weaverdaniel,Zombie Rush,PC,West,2025-06-08,168,0,None,Completed,Free,18,Yes
S00171,P4426,joe22,Clash of Realms,Console,North-East,2025-04-09,123,0,None,Crashed,Paid,47,No
S00172,P7943,vaughnlori,Clash of Realms,Mobile,West,2025-05-13,41,33.29,Boosters,Completed,Paid,29,No
S00173,P7565,ambersmith,Zombie Rush,Console,Central,2024-12-30,156,0,None,Completed,Free,34,Yes
S00174,P4796,okoch,Clash of Realms,PC,West,2025-02-28,84,0,None,Completed,Free,15,No
S00175,P6406,shannonevans,SpeedX,Console,East,2025-02-27,138,27.01,Boosters,Completed,Paid,18,No
S00176,P3229,gina94,Empire Wars,Mobile,West,2025-05-17,26,0,None,Completed,Free,22,No
S00177,P4485,iyoung,Clash of Realms,Mobile,East,2025-05-29,111,0,None,Completed,Free,26,No
S00178,P4333,matthewcasey,Empire Wars,Mobile,North,2025-01-05,100,0,None,Completed,Free,7,No
S00179,P3013,smayo,Empire Wars,Mobile,West,2025-05-24,84,0,None,Completed,Free,36,No
S00180,P9205,douglas13,Zombie Rush,PC,South,2025-03-27,90,33.43,Boosters,Exited Early,Paid,50,No
S00181,P2490,bakerjohn,Empire Wars,PC,North,2025-05-22,61,23.71,Battle Pass,Completed,Paid,37,No
S00182,P3609,brianlopez,Zombie Rush,Console,North,2025-04-01,88,0,None,Completed,Free,39,No
S00183,P2506,troberts,BattleZone,Console,Central,2025-01-25,56,0,None,Completed,Free,1,No
S00184,P6474,robertmassey,Empire Wars,Console,Central,2025-02-05,54,0,None,Completed,Free,49,No
S00185,P5211,ynovak,Clash of Realms,PC,North-East,2025-02-25,27,0,None,Completed,Paid,29,No
S00186,P7900,colinmartinez,SpeedX,PC,West,2024-12-18,30,27.43,Subscriptions,Completed,Paid,1,No
S00187,P6989,schultzkatherine,BattleZone,PC,West,2025-02-26,128,0,None,Crashed,Free,36,No
S00188,P5714,romerostephanie,BattleZone,Console,North,2025-02-28,16,36,Skins,Completed,Paid,40,No
S00189,P4279,otaylor,Clash of Realms,Console,Central,2025-05-23,57,0,None,Completed,Free,18,No
S00190,P5227,snguyen,BattleZone,Console,West,2025-05-20,153,0,None,Completed,Free,1,Yes
S00191,P6734,christine87,BattleZone,Mobile,West,2025-01-25,130,0,None,Completed,Paid,8,No
S00192,P2833,kerry23,Empire Wars,PC,East,2024-12-24,47,12.41,Subscriptions,Completed,Paid,36,No
S00193,P3866,natashamartin,Clash of Realms,PC,North-East,2025-03-01,53,0,None,Incomplete,Free,28,No
S00194,P9566,rileyjason,BattleZone,PC,South,2025-03-30,19,0,None,Completed,Free,27,No
S00195,P1819,garciadanielle,Zombie Rush,Mobile,East,2024-12-28,117,0,None,Completed,Free,17,No
S00196,P5750,walterkayla,BattleZone,Console,Central,2025-01-02,35,18.72,Skins,Completed,Paid,20,No
S00197,P8044,henryrosales,Zombie Rush,Mobile,North,2025-05-11,138,0,None,Completed,Free,47,No
S00198,P7656,nrichmond,Empire Wars,Console,South,2025-01-30,45,0,None,Completed,Free,24,No
S00199,P9860,andrewbrown,SpeedX,Console,West,2025-05-31,97,0,None,Completed,Free,5,No
S00200,P7486,qmills,SpeedX,Mobile,Central,2025-02-04,18,0,None,Completed,Free,14,No
S00201,P5966,qcarrillo,SpeedX,Mobile,West,2025-04-04,7,0,None,Incomplete,Free,22,No
S00202,P8953,mcdanielautumn,Empire Wars,PC,North-East,2025-03-26,42,32.85,Subscriptions,Incomplete,Paid,38,No
S00203,P5877,jperkins,Zombie Rush,PC,North,2025-04-11,111,0,None,Completed,Free,39,No
S00204,P7851,hernandezmichael,Zombie Rush,PC,East,2025-05-05,32,0,None,Incomplete,Free,22,No
S00205,P8927,xpadilla,BattleZone,Mobile,North,2025-05-28,46,0,None,Completed,Paid,42,No
S00206,P3345,wjohnson,Empire Wars,Console,Central,2025-05-25,98,0,None,Completed,Paid,30,No
S00207,P1709,darren53,Empire Wars,Console,West,2025-05-14,85,0,None,Completed,Free,4,No
S00208,P3727,nathanielchavez,Empire Wars,Console,North,2025-05-13,135,0,None,Completed,Paid,42,No
S00209,P6903,selliott,Empire Wars,Mobile,North-East,2024-12-15,109,0,None,Completed,Free,15,No
S00210,P9657,elowe,Clash of Realms,PC,North-East,2025-05-13,41,0,None,Completed,Free,14,No
S00211,P6523,edwardsjohn,Zombie Rush,Console,West,2025-01-29,47,8.61,Subscriptions,Completed,Paid,1,No
S00212,P4216,sheilawatkins,BattleZone,Console,Central,2025-03-22,141,0,None,Completed,Free,17,No
S00213,P5442,nicholas77,SpeedX,Mobile,East,2025-03-06,56,15.9,Boosters,Exited Early,Paid,28,No
S00214,P5369,alexandermoore,SpeedX,Mobile,West,2025-06-09,93,0,None,Completed,Free,21,No
S00215,P2904,william77,Clash of Realms,PC,Central,2025-01-31,147,0,None,Completed,Free,48,No
S00216,P2461,michelle54,Zombie Rush,Console,West,2025-01-31,34,0,None,Completed,Free,50,No
S00217,P3087,quinncaroline,SpeedX,Console,North-East,2025-04-17,51,0,None,Crashed,Free,2,No
S00218,P1617,hlucas,Clash of Realms,Console,North,2025-06-03,44,0,None,Incomplete,Free,27,No
S00219,P3673,davisdevin,BattleZone,Mobile,West,2024-12-16,114,5.31,Boosters,Completed,Paid,9,No
S00220,P7757,tonyachristensen,Empire Wars,Console,Central,2025-03-04,154,0,None,Completed,Free,26,Yes
S00221,P1073,shawna86,Clash of Realms,PC,Central,2025-04-28,105,0,None,Completed,Free,38,No
S00222,P9392,scott81,SpeedX,PC,East,2025-01-26,80,0,None,Exited Early,Free,39,No
S00223,P8292,kellyrichardson,SpeedX,PC,East,2025-04-09,92,0,None,Completed,Free,11,No
S00224,P4744,jeansmall,Clash of Realms,Mobile,Central,2025-01-26,113,0,None,Completed,Free,46,No
S00225,P1940,richard18,SpeedX,Mobile,East,2025-01-06,117,23.32,Boosters,Completed,Paid,11,No
S00226,P7147,jayroberts,BattleZone,Console,West,2025-01-31,71,0,None,Completed,Free,37,No
S00227,P9650,lpowers,Empire Wars,Mobile,South,2025-01-23,132,0,None,Completed,Paid,50,No
S00228,P4765,thomas60,BattleZone,Mobile,South,2025-05-02,30,0,None,Completed,Free,20,No
S00229,P1732,zjames,Empire Wars,Console,Central,2025-05-27,48,0,None,Exited Early,Free,36,No
S00230,P7236,zhopkins,SpeedX,PC,Central,2025-05-18,98,27.66,Boosters,Completed,Paid,27,No
S00231,P9363,melissa94,Zombie Rush,Mobile,North,2025-02-05,23,24.09,Skins,Incomplete,Paid,23,No
S00232,P8348,pottsdavid,Zombie Rush,Console,West,2025-05-09,146,43.02,Skins,Completed,Paid,24,Yes
S00233,P8315,zmartin,SpeedX,PC,North-East,2025-04-10,55,0,None,Completed,Free,20,No
S00234,P4086,joseph76,Zombie Rush,Mobile,North,2024-12-26,154,0,None,Completed,Free,22,Yes
S00235,P5994,deannanewman,BattleZone,PC,West,2025-04-17,163,0,None,Completed,Free,46,Yes
S00236,P5794,rodriguezkathleen,SpeedX,PC,North-East,2025-04-12,59,0,None,Crashed,Free,5,No
S00237,P4427,nelsonbrandon,SpeedX,PC,North-East,2025-02-15,26,11.67,Boosters,Completed,Paid,49,No
S00238,P4599,wrightjulia,Clash of Realms,Mobile,North,2025-02-27,117,0,None,Exited Early,Free,21,No
S00239,P3944,zthomas,SpeedX,Mobile,South,2025-01-27,112,2.26,Subscriptions,Completed,Paid,22,No
S00240,P9467,fmay,SpeedX,Console,East,2025-04-02,116,0,None,Incomplete,Paid,11,No
S00241,P9330,susan69,Clash of Realms,Console,South,2025-04-17,8,36.39,Boosters,Completed,Paid,22,No
S00242,P7057,anthony60,Zombie Rush,Console,North-East,2025-01-03,115,0,None,Completed,Free,18,No
S00243,P5909,mercedesyoung,BattleZone,Mobile,North,2025-05-26,144,0,None,Exited Early,Free,18,No
S00244,P8810,tracy64,Empire Wars,Console,North-East,2025-04-02,175,7.47,Skins,Completed,Paid,17,Yes
S00245,P8881,carpenterjohn,SpeedX,Mobile,Central,2025-01-18,142,0,None,Completed,Free,11,No
S00246,P4807,alexwilson,BattleZone,Console,Central,2025-01-18,154,0,None,Completed,Free,8,Yes
S00247,P3394,moyerdanny,SpeedX,Mobile,West,2025-01-23,33,0,None,Completed,Free,9,No
S00248,P2659,joshuasmith,SpeedX,Mobile,West,2025-04-25,91,0,None,Exited Early,Free,44,No
S00249,P3780,zacharygonzales,Clash of Realms,PC,West,2025-01-27,36,0,None,Completed,Free,36,No
S00250,P2357,coxlauren,BattleZone,Mobile,North-East,2025-02-15,66,0,None,Incomplete,Paid,38,No
S00251,P6820,espinozajennifer,BattleZone,Console,North-East,2025-02-03,38,30.6,Subscriptions,Completed,Paid,27,No
S00252,P7067,jackbarnes,Empire Wars,Console,North,2024-12-13,177,0,None,Completed,Free,25,Yes
S00253,P6499,juanjones,Empire Wars,Mobile,West,2024-12-13,133,8.05,Skins,Completed,Paid,35,No
S00254,P5142,georgewarren,Clash of Realms,PC,South,2025-04-17,116,0,None,Completed,Free,40,No
S00255,P4616,danieldonaldson,Empire Wars,PC,West,2024-12-20,72,0,None,Completed,Free,34,No
S00256,P7433,wsanders,Empire Wars,Console,West,2025-04-11,51,0,None,Completed,Free,30,No
S00257,P8958,dunnmelissa,Clash of Realms,Mobile,North,2025-01-24,19,0,None,Completed,Free,6,No
S00258,P1212,hporter,Zombie Rush,Mobile,South,2025-01-27,142,8.64,Boosters,Crashed,Paid,25,No
S00259,P8750,garciaisabel,Empire Wars,PC,North,2025-04-06,31,0,None,Completed,Free,49,No
S00260,P2956,rsuarez,Zombie Rush,Console,Central,2025-03-05,26,0,None,Completed,Paid,5,No
